Row_ID;Order_ID;Order_Date;Ship_Date;Ship_Mode;Customer_ID;Customer_Name;Segment;Country;City;State;Postal_Code;Region;Product_ID;Category;Sub_Category;Product_Name;Sales;Quantity;Discount;Profit;Latitude;Longitude;Geo
7981;CA-2014-103800;03.01.2017;07.01.2017;Standard Class;DP-13000;Darren Powers;Consumer;United States;Houston;Texas;77095;Central;OFF-PA-10000174;Office Supplies;Paper;"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book";16,45;2;0,2;5,55;29,763;-95,363;[29,763,-95,363]
740;CA-2014-112326;04.01.2017;08.01.2017;Standard Class;PO-19195;Phillina Ober;Home Office;United States;Naperville;Illinois;60540;Central;OFF-LA-10003223;Office Supplies;Labels;Avery 508;11,78;3;0,2;4,27;41,785;-88,147;[41,785,-88,147]
741;CA-2014-112326;04.01.2017;08.01.2017;Standard Class;PO-19195;Phillina Ober;Home Office;United States;Naperville;Illinois;60540;Central;OFF-ST-10002743;Office Supplies;Storage;SAFCO Boltless Steel Shelving;272,74;3;0,2;-64,77;41,785;-88,147;[41,785,-88,147]
742;CA-2014-112326;04.01.2017;08.01.2017;Standard Class;PO-19195;Phillina Ober;Home Office;United States;Naperville;Illinois;60540;Central;OFF-BI-10004094;Office Supplies;Binders;GBC Standard Plastic Binding Systems Combs;3,54;2;0,8;-5,49;41,785;-88,147;[41,785,-88,147]
1760;CA-2014-141817;05.01.2017;12.01.2017;Standard Class;MB-18085;Mick Brown;Consumer;United States;Philadelphia;Pennsylvania;19143;East;OFF-AR-10003478;Office Supplies;Art;Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack;19,54;3;0,2;4,88;39,952;-75,163;[39,952,-75,163]
7181;CA-2014-106054;06.01.2017;07.01.2017;First Class;JO-15145;Jack O'Briant;Corporate;United States;Athens;Georgia;30605;South;OFF-AR-10002399;Office Supplies;Art;Dixon Prang Watercolor Pencils, 10-Color Set with Brush;12,78;3;0;5,24;33,96;-83,377;[33,96,-83,377]
7475;CA-2014-167199;06.01.2017;10.01.2017;Standard Class;ME-17320;Maria Etezadi;Home Office;United States;Henderson;Kentucky;42420;South;FUR-CH-10004063;Furniture;Chairs;Global Deluxe High-Back Manager's Chair;2573,82;9;0;746,41;37,836;-87,59;[37,836,-87,59]
7476;CA-2014-167199;06.01.2017;10.01.2017;Standard Class;ME-17320;Maria Etezadi;Home Office;United States;Henderson;Kentucky;42420;South;OFF-BI-10004632;Office Supplies;Binders;Ibico Hi-Tech Manual Binding System;609,98;2;0;274,49;37,836;-87,59;[37,836,-87,59]
7477;CA-2014-167199;06.01.2017;10.01.2017;Standard Class;ME-17320;Maria Etezadi;Home Office;United States;Henderson;Kentucky;42420;South;OFF-AR-10001662;Office Supplies;Art;Rogers Handheld Barrel Pencil Sharpener;5,48;2;0;1,48;37,836;-87,59;[37,836,-87,59]
7480;CA-2014-167199;06.01.2017;10.01.2017;Standard Class;ME-17320;Maria Etezadi;Home Office;United States;Henderson;Kentucky;42420;South;OFF-FA-10001883;Office Supplies;Fasteners;Alliance Super-Size Bands, Assorted Sizes;31,12;4;0;0,31;37,836;-87,59;[37,836,-87,59]
7481;CA-2014-167199;06.01.2017;10.01.2017;Standard Class;ME-17320;Maria Etezadi;Home Office;United States;Henderson;Kentucky;42420;South;OFF-PA-10000955;Office Supplies;Paper;Southworth 25% Cotton Granite Paper & Envelopes;6,54;1;0;3,01;37,836;-87,59;[37,836,-87,59]
